A	B	support	confidence	lift
Rome	Washington	0.17391304	1.00000000	1.64285714
Washington	Rome	0.17391304	0.28571429	1.64285714
San Francisco	Tokyo	0.13043478	0.23076923	1.76923077
Tokyo	San Francisco	0.13043478	1.00000000	1.76923077
San Francisco	Toronto	0.21739130	0.38461538	1.26373626
Toronto	San Francisco	0.21739130	0.71428571	1.26373626
San Francisco	Vancouver	0.21739130	0.38461538	1.47435897
Vancouver	San Francisco	0.21739130	0.83333333	1.47435897
San Francisco	Venice	0.13043478	0.23076923	1.32692308
Venice	San Francisco	0.13043478	0.75000000	1.32692308
San Francisco	Washington	0.30434783	0.53846154	0.88461538
Washington	San Francisco	0.30434783	0.50000000	0.88461538
Toronto	Vancouver	0.17391304	0.57142857	2.19047619
Vancouver	Toronto	0.17391304	0.66666667	2.19047619
Toronto	Washington	0.21739130	0.71428571	1.17346939
Washington	Toronto	0.21739130	0.35714286	1.17346939
Vancouver	Washington	0.17391304	0.66666667	1.09523810
Washington	Vancouver	0.17391304	0.28571429	1.09523810
Venice	Washington	0.17391304	1.00000000	1.64285714
Washington	Venice	0.17391304	0.28571429	1.64285714
