A	B	support	confidence	lift
Toronto	Berlin	0.14285714	0.50000000	1.75000000
Berlin	Venice	0.28571429	1.00000000	3.50000000
Venice	Berlin	0.28571429	1.00000000	3.50000000
Berlin	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Berlin	0.28571429	0.50000000	1.75000000
Boston	Cancun	0.42857143	1.00000000	1.75000000
Cancun	Boston	0.42857143	0.75000000	1.75000000
Boston	Chicago	0.42857143	1.00000000	1.75000000
Chicago	Boston	0.42857143	0.75000000	1.75000000
Boston	Hong Kong	0.28571429	0.66666667	2.33333333
Hong Kong	Boston	0.28571429	1.00000000	2.33333333
Boston	Honolulu	0.28571429	0.66666667	1.55555556
Honolulu	Boston	0.28571429	0.66666667	1.55555556
Boston	Las Vegas	0.42857143	1.00000000	1.16666667
Las Vegas	Boston	0.42857143	0.50000000	1.16666667
Boston	London	0.28571429	0.66666667	1.55555556
London	Boston	0.28571429	0.66666667	1.55555556
Boston	Los Angeles	0.42857143	1.00000000	1.00000000
Los Angeles	Boston	0.42857143	0.42857143	1.00000000
Boston	Madrid	0.14285714	0.33333333	2.33333333
Madrid	Boston	0.14285714	1.00000000	2.33333333
Boston	Miami	0.14285714	0.33333333	0.77777778
Miami	Boston	0.14285714	0.33333333	0.77777778
Boston	Montreal	0.14285714	0.33333333	1.16666667
Montreal	Boston	0.14285714	0.50000000	1.16666667
Boston	New York	0.42857143	1.00000000	1.40000000
New York	Boston	0.42857143	0.60000000	1.40000000
Boston	Orlando	0.42857143	1.00000000	1.16666667
Orlando	Boston	0.42857143	0.50000000	1.16666667
Boston	Paris	0.42857143	1.00000000	1.40000000
Paris	Boston	0.42857143	0.60000000	1.40000000
Boston	Rome	0.28571429	0.66666667	1.55555556
Rome	Boston	0.28571429	0.66666667	1.55555556
Boston	San Francisco	0.42857143	1.00000000	1.40000000
San Francisco	Boston	0.42857143	0.60000000	1.40000000
Boston	Seoul	0.14285714	0.33333333	2.33333333
Seoul	Boston	0.14285714	1.00000000	2.33333333
Boston	Shanghai	0.14285714	0.33333333	2.33333333
Shanghai	Boston	0.14285714	1.00000000	2.33333333
Boston	Sydney	0.28571429	0.66666667	1.55555556
Sydney	Boston	0.28571429	0.66666667	1.55555556
Boston	Tokyo	0.28571429	0.66666667	2.33333333
Tokyo	Boston	0.28571429	1.00000000	2.33333333
Boston	Toronto	0.14285714	0.33333333	1.16666667
Toronto	Boston	0.14285714	0.50000000	1.16666667
Boston	Vancouver	0.14285714	0.33333333	1.16666667
Vancouver	Boston	0.14285714	0.50000000	1.16666667
Boston	Venice	0.28571429	0.66666667	2.33333333
Venice	Boston	0.28571429	1.00000000	2.33333333
Boston	Washington D.C.	0.42857143	1.00000000	1.75000000
Washington D.C.	Boston	0.42857143	0.75000000	1.75000000
Cancun	Chicago	0.42857143	0.75000000	1.31250000
Chicago	Cancun	0.42857143	0.75000000	1.31250000
Cancun	Hong Kong	0.28571429	0.50000000	1.75000000
Hong Kong	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Honolulu	0.42857143	0.75000000	1.75000000
Honolulu	Cancun	0.42857143	1.00000000	1.75000000
Cancun	Las Vegas	0.57142857	1.00000000	1.16666667
Las Vegas	Cancun	0.57142857	0.66666667	1.16666667
Cancun	London	0.28571429	0.50000000	1.16666667
London	Cancun	0.28571429	0.66666667	1.16666667
Cancun	Los Angeles	0.57142857	1.00000000	1.00000000
